"Date";"De Bilt";"Eelde";"Maastricht"
19070101;3,1;1,3;3
19070102;5,9;3,8;5,9
19070103;3,4;2,4;2,4
19070104;2,3;1,5;0,8
19070105;1,9;1,4;0,5
19070106;5;3,6;4,6
19070107;4,3;4;3
19070108;5,5;5,4;4,8
19070109;4,2;3,4;3,7
19070110;5,1;4;3,9
19070111;4,6;4,6;3,7
19070112;4,8;4,7;2,9
19070113;5,1;4,9;4,9
19070114;5,7;5,3;4,8
19070115;6,4;5,7;5,1
19070116;5,7;5,7;4,6
19070117;4,9;4,9;4,1
19070118;-0,5;2,2;1,2
19070119;0,4;2,7;-0,3
19070120;0;1,3;1
19070121;1,4;0,2;0,4
19070122;-8,2;-10,5;-7,2
19070123;-11,6;-11,9;-11,3
19070124;-9,1;-9,7;-7,2
19070125;-2,8;-4;-1,8
19070126;-1,8;-2;-2,1
19070127;-1,8;-3;-3,5
19070128;4,4;2,8;3
19070129;3;1,1;2,6
19070130;2;-0,1;0,3
19070131;0,1;-2,9;-0,8
19070201;-3;-3,9;-4,6
19070202;-4,2;-4;-6,9
19070203;-2,6;-2,5;-4,7
19070204;-1,3;-2,4;-3,5
19070205;-1;-3,3;-3,5
19070206;-3,5;-4,3;-4,2
19070207;-6,8;-7,1;-5,1
19070208;-4,3;-6,7;-5
19070209;-4;-3,4;-3,8
19070210;0,1;-1,8;-0,3
19070211;0,7;1;1,5
19070212;0,4;-0,5;1,2
19070213;3,2;1,4;3,9
19070214;0,8;-0,7;0
19070215;0,9;-0,1;-0,7
19070216;3,8;2,7;2,3
19070217;4,9;4;4,4
19070218;3,6;2,2;3,8
19070219;6;4,1;6,1
19070220;3,7;2,7;4,1
19070221;2,5;2,5;1,2
19070222;0,6;-0,3;-1,9
19070223;0,6;0,6;-1,1
19070224;1,3;1,1;-0,5
19070225;4,6;3,4;3,1
19070226;4,4;4,5;3,9
19070227;5,3;5,4;4,4
19070228;5;4,2;4,4
19070301;3,6;2,8;3,1
19070302;2,1;2,2;-0,1
19070303;1,5;1,1;1
19070304;2,8;2,2;2,4
19070305;3,2;2,6;4,7
19070306;2,9;1,8;2,9
19070307;2,3;0,2;2,9
19070308;4,9;4;4,5
19070309;2;1,2;0,8
19070310;0,4;-0,8;3,6
19070311;0,5;-0,7;0,7
19070312;0,9;0,6;0,1
19070313;3;1,8;1,3
19070314;2,7;1,7;1,8
19070315;3,2;2,2;3
19070316;8,1;6,5;7,6
19070317;7;6;6,8
19070318;7,7;6,3;7,5
19070319;6,5;4,3;6,6
19070320;6,6;4,9;6
